Deaths7;Cases7;Deaths7Trend;Cases7Trend;deaths7perc;cases7perc;Country;Label
3286;12154;0;0;0.005033180622916298;0.018616335146355658;FR;57.0
3132;11816;0;0;0.004797298146979259;0.01809861906280553;FR;56.0
3028;10926;0;0;0.0046380008905022975;0.01673540215641615;FR;55.0
2864;9313;0;0;0.004386801370673243;0.014264762976634048;FR;54.0
2747;9105;0;0;0.004207591957136662;0.013946168463680126;FR;53.0
2519;8538;0;0;0.003858363356398708;0.013077692075002844;FR;52.0
2348;7384;0;0;0.0035964419058452427;0.011310105209864255;FR;51.0
2144;6583;0;0;0.003283974210448126;0.010083209994113813;FR;50.0
2038;6429;0;0;0.0031216135451927617;0.009847327518176775;FR;49.0
1904;5803;0;0;0.002916365157039754;0.008888480570536603;FR;48.0
1864;5828;0;0;0.002855096981471692;0.008926773180266643;FR;47.0
1715;8402;0;0;0.0026268730274806606;0.012869380278071437;FR;46.0
1604;7859;0;0;0.0024568538402792886;0.012037664794734993;FR;45.0
1628;7856;0;1;0.002493614745620126;0.012033069681567388;FR;44.0
1544;7550;0;1;0.0023649515769271954;0.011564368138471713;FR;43.0
1479;7365;0;1;0.0022653907916290942;0.011281002826469426;FR;42.0
1435;7249;0;1;0.002197995798504226;0.011103325117322047;FR;41.0
1457;6869;0;1;0.0022316932950666606;0.010521277449425458;FR;40.0
1260;3141;0;0;0.0019299475303939547;0.004811083486482073;FR;39.0
1432;3172;0;0;0.0021934006853366215;0.004858566322547321;FR;38.0
1294;3068;0;0;0.0019820254796268076;0.00469926906607036;FR;37.0
1310;3000;0;0;0.0020065327498540323;0.004595113167604655;FR;36.0
1721;2963;1;0;0.00263606325381587;0.004538440105204197;FR;35.0
1590;3006;1;0;0.0024354099788304667;0.004604303393939863;FR;34.0
1024;2798;0;0;0.0015684652945423885;0.004285708880985941;FR;33.0
1052;2703;0;0;0.0016113530174400323;0.004140196964011794;FR;32.0
786;2438;0;0;0.0012039196499124194;0.003734295300873383;FR;31.0
756;2303;0;0;0.001157968518236373;0.003527515208331173;FR;30.0
703;2165;0;0;0.0010767881856086907;0.003316140002621359;FR;29.0
256;2168;0;0;0.00039211632363559713;0.0033207351157889635;FR;28.0
189;1985;0;0;0.00028949212955909324;0.0030404332125650796;FR;27.0
505;1745;0;0;0.0007735107165467834;0.002672824159156707;FR;26.0
462;1540;0;0;0.0007076474278111168;0.0023588247593703893;FR;25.0
444;4532;0;1;0.0006800767488054888;0.006941684291861432;FR;24.0
422;4708;0;1;0.0006463792522430548;0.007211264264360904;FR;23.0
436;6263;0;1;0.0006678231136918764;0.009593064589569317;FR;22.0
431;6320;1;1;0.0006601645917458688;0.009680371739753805;FR;21.0
397;6293;1;1;0.000608086642513016;0.009639015721245363;FR;20.0
406;5231;0;1;0.00062187198201583;0.008012345659913316;FR;19.0
421;5411;0;1;0.0006448475478538531;0.008288052449969595;FR;18.0
399;2819;0;0;0.000611150051291419;0.0043178746731591736;FR;17.0
393;2838;0;0;0.0006019598249562097;0.004346977056554003;FR;16.0
367;1586;0;0;0.0005621355108369694;0.0024292831612736606;FR;15.0
351;1791;0;0;0.0005376282406097445;0.002743282561059979;FR;14.0
373;1638;0;0;0.0005713257371721787;0.0025089317895121413;FR;13.0
351;2813;0;0;0.0005376282406097445;0.004308684446823964;FR;12.0
